"Parcel ID","Year Built","Building Area","CITYAREA","TOWNSHIPCODE","CITYTWNAREA","Occupancy","Lot Area (sf)","Sale Date","Sale Price","Recording","Assessed Value","Address","Multi Parcel Sale","Vacant","Appr_Total"
"1613279021","2007","617","WEST DES MOINES","17","WEST DES MOINES","Office - General","2700","6/14/2021 12:00:00 AM","650000","2021-18107","97690","6150 VILLAGE VIEW DR #108B, WEST DES MOINES","Y","N","97690"
"1613279020","2007","1325","WEST DES MOINES","17","WEST DES MOINES","Office - General","5735","5/24/2021 12:00:00 AM","185000","2021-16552","208320","6150 VILLAGE VIEW DR #108A, WEST DES MOINES","","N","208320"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","10/24/2023 12:00:00 AM","180000","2023-16058","66350","1119 THOMAS ST, REDFIELD","","N","66350"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","4/23/2022 12:00:00 AM","60000","2022-9172","66350","1119 THOMAS ST, REDFIELD","","N","66350"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","10/6/1999 12:00:00 AM","5000","1999-11428","66350","1119 THOMAS ST, REDFIELD","","N","66350"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","10/21/1994 12:00:00 AM","0","777-329","66350","1119 THOMAS ST, REDFIELD","","N","66350"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","10/11/1993 12:00:00 AM","0","752-34","66350","1119 THOMAS ST, REDFIELD","Y","N","66350"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","2/6/1991 12:00:00 AM","0","752-34","66350","1119 THOMAS ST, REDFIELD","Y","N","66350"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","1/30/1984 12:00:00 AM","25000","603-638","66350","1119 THOMAS ST, REDFIELD","","N","66350"
"1304142014","1900","1826","REDFIELD","13","REDFIELD","Bars and Lounges","2904","5/12/2008 12:00:00 AM","55000","2008-7093","66350","1119 THOMAS ST, REDFIELD","","N","66350"
"1519351001","1900","780","DESOTO","6","DE SOTO","Bars and Lounges","29666","7/8/2004 12:00:00 AM","0","2004-10510","160370","917 GUTHRIE ST, DESOTO","","N","160370"
